,0
0,-764.6553
1,-473.9561
2,1096.8983
3,1542.3719
4,-1440.9682
5,-311.6033
6,2307.0224
7,-967.0146
8,-1408.5041
9,-663.4796
10,-131.6817
11,669.3542
12,1383.9421
13,892.5599
14,-2050.3253
15,2047.4195
16,1024.2401
17,-2719.6822
18,-1036.3775
19,-751.5367
20,1565.003
21,259.5954
22,-1991.2691
23,1311.1776
24,1295.9741
25,-1239.73
26,-253.8202
27,-101.3984
28,-342.4329
29,427.3831
30,-4395868.0962
31,-3081124.465
32,-3433158.1274
33,4395766.6985
34,3080782.0308
35,3433585.5097
36,-4395868.0824
37,-3081124.4488
38,-3433158.1206
39,246.1554
40,-201.3977
41,-57.9465
42,4396114.2566
43,3080923.0819
44,3433100.1988999997
