Reference Id,Rover Id,dX [m],dY [m],dZ [m],M0 [m],Qxx [m^2],Qxy [m^2],Qxz [m^2],Qyy [m^2],Qyz [m^2],Qzz [m^2]
GPS3,PU29,-764.6553,-473.9561,1096.8983,0.5841,0.00000044,0.00000025,0.00000015,0.00000027,0.0000001,0.0000002
AB43,PU29,-663.4796,-131.6817,669.3542,0.4179,0.00000032,0.0000002,0.00000019,0.00000023,0.00000019,0.00000025
JAKOBS,MD13,1295.9741,-1239.73,-253.8202,0.8902,0.00000111,0.00000044,0.00000078,0.00000032,0.00000029,0.00000076
PU29,MD13,2307.0224,-967.0146,-1408.5041,0.764,0.00000097,0.0000005,0.00000029,0.00000044,0.00000016,0.00000025
30PU,JAKOBS,-1036.3775,-751.5367,1565.003,0.7006,0.00000046,0.00000021,0.00000035,0.0000002,0.00000015,0.00000043
30PU,MD13,259.5954,-1991.2691,1311.1776,0.7842,0.00000077,0.00000032,0.00000049,0.00000026,0.00000019,0.0000005
GPS3,JAKOBS,246.1554,-201.3977,-57.9465,0.991,0.00000066,0.00000032,0.00000048,0.0000003,0.00000025,0.00000052
GPS2,JAKOBS,159.5617,355.3966,-465.7074,1.1258,0.00000069,0.00000034,0.0000005,0.00000034,0.00000026,0.00000053
GPS3,AB43,-101.3984,-342.4329,427.3831,0.8112,0.00000031,0.0000002,0.00000018,0.00000024,0.00000018,0.00000026
GPS2,AB43,-187.9964,214.3455,19.6034,0.8147,0.00000036,0.00000027,0.00000027,0.00000036,0.00000034,0.00000051
GPS3,MD13,1542.3719,-1440.9682,-311.6033,1.0367,0.00000117,0.0000006,0.00000036,0.00000051,0.0000002,0.0000003
AB43,30PU,1383.9421,892.5599,-2050.3253,0.9671,0.00000058,0.00000031,0.00000036,0.00000034,0.0000003,0.00000045
PU29,30PU,2047.4195,1024.2401,-2719.6822,0.9257,0.00000061,0.00000034,0.00000039,0.00000037,0.00000034,0.0000005
GPS3,GPS2,86.5987,-556.7797,407.7789,0.7041,0.00000028,0.00000021,0.00000023,0.00000028,0.00000028,0.00000044
GPS3,GPS2,86.6125,-556.7635,407.7857,1.0387,0.00000063,0.00000046,0.00000059,0.00000059,0.00000056,0.00000081
